Order ID,用途碼,用途中文說明,標準板編號,塗料編號,製造批號,Coil No.,Time,Coating Thickness正面,"Minimum thickness
 正面","Coating Thickness
 正面 -北","Coating Thickness
 正面 -南","Avergage Thickness
  (µm)正面",光澤60度反射(下限),光澤60度反射(上限),入料檢測-光澤,光澤-正-北,光澤-正-南,"Average value
 光澤正面","正-北
 ΔE","正-北
 ΔL","正-北
Δa","正-北
Δb","正-南
 ΔE","正-南
ΔL","正-南
Δa","正-南
Δb","Average value
ΔE 正面","Average value
ΔL 正面","Average value
 Δa 正面","Average value
Δb 正面","入料檢測
ΔE 正面","入料檢測
 ΔL 正面","入料檢測
Δa 正面","入料檢測
Δb 正面"
PZK35F101,KFR2,辦公家具(環保),YS2G169QQ,PS2G169QQ,F414121705,4CL922B00,2025/1/8,25,23,25.3,25.2,25.3,60,70,70,68.9,68.8,68.85,0.31,0.29,-0.04,0.11,0.32,0.29,-0.05,0.12,0.315,0.29,-0.045,0.115,0.34,0.33,-0.02,0.04
D3K33Z501,KDR8,隔間面板(背面層黏貼/發泡))(環保),AKFG15275/YSFG15275,#N/A,NA,4CS078A00,2025/1/8,1,1,0,0,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
D3K33Z501,KDR8,隔間面板(背面層黏貼/發泡))(環保),AKFG15275/YSFG15275,#N/A,NA,4CS078B00,2025/1/8,1,1,0,0,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
W3K33Y204,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123PS,PS2E123PS,F174121706,4CB454A00,2025/1/9,25,23,24.6,24.7,24.7,20,30,22,22.4,23,22.7,0.4,0.3,0.1,-0.24,0.42,0.33,0.11,-0.24,0.41,0.315,0.105,-0.24,0.48,-0.36,0.33,-0.16
W3K33Y204,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123PS,PS2E123PS,F174121706,4CB454B00,2025/1/9,25,23,25.1,25.3,25.2,20,30,22,22.1,22.5,22.3,0.39,0.28,0.1,-0.25,0.37,0.26,0.12,-0.24,0.38,0.27,0.11,-0.245,0.48,-0.36,0.33,-0.16
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB450M20,2025/1/10,25,23,25.3,25.1,25.2,20,30,28,28.7,28.6,28.65,0.68,0.63,0.2,0.14,0.69,0.64,0.21,0.14,0.685,0.635,0.205,0.14,0.28,-0.22,0.12,0.11
W3K33Y204,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123PS,PS2E123PS,F174101609,4CB453B00,2025/1/10,25,23,25.5,25.3,25.4,20,30,25,24.1,23.7,23.9,0.34,0.26,0.16,-0.16,0.33,0.23,0.18,-0.16,0.335,0.245,0.17,-0.16,0.48,-0.05,-0.15,-0.46
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB596B00,2025/1/10,25,23,24.9,25.1,25,20,30,28,28.7,28.3,28.5,0.71,0.67,0.2,0.14,0.7,0.66,0.2,0.13,0.705,0.665,0.2,0.135,0.28,-0.22,0.12,0.11
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB597B00,2025/1/10,25,23,25.1,25.2,25.2,20,30,28,28.3,27.5,27.9,0.71,0.67,0.2,0.14,0.72,0.68,0.18,0.13,0.715,0.675,0.19,0.135,0.28,-0.22,0.12,0.11
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB598B00,2025/1/10,25,23,24.7,24.8,24.8,20,30,28,28.2,28.5,28.35,0.66,0.61,0.21,0.14,0.66,0.61,0.2,0.14,0.66,0.61,0.205,0.14,0.28,-0.22,0.12,0.11
